2025-07-09 19:48:50,405 - INFO - setup_logging - Application started. Version 23.0.
2025-07-09 19:53:54,033 - INFO - browse_folder - Selected folder: /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1
2025-07-09 19:55:14,113 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A001 Wagnerian/._A001 Wagnerian.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,147 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A002 Tom Sawyer/._A002 Tom Sawyer.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,163 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A003 T8 Strings/._A003 T8 Strings.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,179 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A004 Epic Brass/._A004 Epic Brass.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,195 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A006 Dual Bass/._A006 Dual Bass.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,213 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A007 Soft Triangles/._A007 Soft Triangles.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,228 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A009 Fusion Bass/._A009 Fusion Bass.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,245 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A010 Listen/._A010 Listen.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,255 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A011 Monster/._A011 Monster.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,297 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A012 Tarkus/._A012 Tarkus.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,315 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A013 BiSync/._A013 BiSync.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,328 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A014 Lo Drone/._A014 Lo Drone.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,357 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A015 Crystal/._A015 Crystal.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,362 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A016 Aliens/._A016 Aliens.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,375 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A017 Slither Lead/._A017 Slither Lead.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,395 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A018 Konserve/._A018 Konserve.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,412 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A019 Evolver/._A019 Evolver.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,423 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A020 Deep/._A020 Deep.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,481 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A021 Modern Music/._A021 Modern Music.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,493 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A022 SlowWah FastClav/._A022 SlowWah FastClav.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,515 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A024 Chaos/._A024 Chaos.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,531 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A025 Verse/._A025 Verse.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,543 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A027 Delay MW EarlRef/._A027 Delay MW EarlRef.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,557 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A028 Talker/._A028 Talker.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,571 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A030 Ice Planet/._A030 Ice Planet.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,595 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A031 DIY Phazorand/._A031 DIY Phazorand.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,611 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A033 4Osc Strings/._A033 4Osc Strings.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,624 - ERROR - batch_edit_programs - Failed to edit /Volumes/MPC EXP/Expansions/Prophet 8/Instruments/A1/A034 Sunset Mono Gtr/._A034 Sunset Mono Gtr.xpm: not well-formed (invalid token): line 1, column 0
2025-07-09 19:55:14,630 - INFO - run - Batch process 'batch_edit_programs' completed. 28 item(s) affected.
